port_id,date,NC,observation_count,GNC
abu_dhabi,2017-01-14,2253,1,-0.003507409846035893
abu_dhabi,2017-01-27,2358,1,0.0035039338973132427
abu_dhabi,2017-02-06,2297,1,-0.0026209878408218756
abu_dhabi,2017-03-05,2098,1,-0.003356274582698345
abu_dhabi,2017-03-15,2084,1,-0.0006695386082984812
abu_dhabi,2017-03-18,2260,1,0.027025229797691175
abu_dhabi,2017-04-04,1961,1,-0.008347662709999112
abu_dhabi,2017-04-07,2029,1,0.01136283787648947
abu_dhabi,2017-04-14,1930,1,-0.007146151132411889
abu_dhabi,2017-04-24,1864,1,-0.003479528665339515
abu_dhabi,2017-04-27,1749,1,-0.02122684007564472
abu_dhabi,2017-04-29,1625,1,-0.036768190127382194
abu_dhabi,2017-05-04,1837,1,0.024525198090257484
abu_dhabi,2017-05-14,1828,1,-0.0004911333201030211
abu_dhabi,2017-05-17,1932,1,0.01844442091945601
abu_dhabi,2017-05-24,1799,1,-0.010189254403132786
abu_dhabi,2017-06-03,1791,1,-0.0004456831889822155
abu_dhabi,2017-06-06,2105,1,0.05384711468525675
abu_dhabi,2017-06-13,1825,1,-0.02039078287141281
abu_dhabi,2017-06-23,1821,1,-0.00021941862889836018
abu_dhabi,2017-06-26,1851,1,0.005446744281962938
abu_dhabi,2017-06-28,1822,1,-0.007895617376796782
abu_dhabi,2017-07-03,1794,1,-0.003097407040232447
abu_dhabi,2017-07-11,1924,1,0.008744823575863814
abu_dhabi,2017-07-13,1878,1,-0.01209948572872177
abu_dhabi,2017-07-16,1903,1,0.004408069175980245
abu_dhabi,2017-07-23,1978,1,0.0055220921266439914
abu_dhabi,2017-07-28,1888,1,-0.009313633095442243
abu_dhabi,2017-07-31,2146,1,0.04269585882839936
abu_dhabi,2017-08-02,1875,1,-0.06749849239306638
abu_dhabi,2017-08-05,2141,1,0.04422145006172388
abu_dhabi,2017-08-07,1864,1,-0.06927414667207321
abu_dhabi,2017-08-12,1967,1,0.010756964628704502
abu_dhabi,2017-08-17,1902,1,-0.00672071505674463
abu_dhabi,2017-08-20,1916,1,0.0024445718084900037
abu_dhabi,2017-08-22,1934,1,0.0046753587412169395
abu_dhabi,2017-08-25,1997,1,0.010685219134191884
abu_dhabi,2017-08-27,1896,1,-0.025949825300424223
abu_dhabi,2017-09-06,1944,1,0.002500130220541763
abu_dhabi,2017-09-09,2085,1,0.023340383070839188
