key,basename,image_path,mask_path,port_id,patch_id,timestamp
abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170127T070141Z
abu_dhabi__P1__L1C__20170424T070231Z__eoCC0.891__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170424T070231Z__eoCC0.891__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170424T070231Z__eoCC0.891__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170424T070231Z__eoCC0.891__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170424T070231Z
abu_dhabi__P1__L1C__20170613T064621Z__eoCC0.068__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170613T064621Z__eoCC0.068__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170613T064621Z__eoCC0.068__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170613T064621Z__eoCC0.068__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170613T064621Z
abu_dhabi__P1__L1C__20170626T065621Z__eoCC9.063__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170626T065621Z__eoCC9.063__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170626T065621Z__eoCC9.063__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170626T065621Z__eoCC9.063__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170626T065621Z
abu_dhabi__P1__L1C__20170820T065619Z__eoCC3.734__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170820T065619Z__eoCC3.734__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170820T065619Z__eoCC3.734__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170820T065619Z__eoCC3.734__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170820T065619Z
abu_dhabi__P1__L1C__20170906T070219Z__eoCC0.952__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170906T070219Z__eoCC0.952__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170906T070219Z__eoCC0.952__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170906T070219Z__eoCC0.952__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170906T070219Z
abu_dhabi__P1__L1C__20170914T065621Z__eoCC0.000__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170914T065621Z__eoCC0.000__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170914T065621Z__eoCC0.000__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170914T065621Z__eoCC0.000__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170914T065621Z
abu_dhabi__P1__L1C__20171016T070219Z__eoCC1.033__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20171016T070219Z__eoCC1.033__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20171016T070219Z__eoCC1.033__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20171016T070219Z__eoCC1.033__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20171016T070219Z
abu_dhabi__P1__L1C__20171128T070219Z__eoCC0.000__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20171128T070219Z__eoCC0.000__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20171128T070219Z__eoCC0.000__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20171128T070219Z__eoCC0.000__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20171128T070219Z
abu_dhabi__P1__L1C__20171215T065249Z__eoCC4.113__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20171215T065249Z__eoCC4.113__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20171215T065249Z__eoCC4.113__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20171215T065249Z__eoCC4.113__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20171215T065249Z
abu_dhabi__P1__L1C__20180114T065229Z__eoCC0.113__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20180114T065229Z__eoCC0.113__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20180114T065229Z__eoCC0.113__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20180114T065229Z__eoCC0.113__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20180114T065229Z
abu_dhabi__P1__L1C__20180216T065929Z__eoCC0.000__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20180216T065929Z__eoCC0.000__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20180216T065929Z__eoCC0.000__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20180216T065929Z__eoCC0.000__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20180216T065929Z
abu_dhabi__P1__L1C__20180308T065719Z__eoCC0.000__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20180308T065719Z__eoCC0.000__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20180308T065719Z__eoCC0.000__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20180308T065719Z__eoCC0.000__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20180308T065719Z
abu_dhabi__P1__L1C__20180412T065621Z__eoCC43.984__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20180412T065621Z__eoCC43.984__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20180412T065621Z__eoCC43.984__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20180412T065621Z__eoCC43.984__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20180412T065621Z
abu_dhabi__P1__L1C__20180414T064619Z__eoCC84.719__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20180414T064619Z__eoCC84.719__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20180414T064619Z__eoCC84.719__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20180414T064619Z__eoCC84.719__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20180414T064619Z
